Category,Function Name,Arguments,Result Type,Explanation,Examples,Display Reference,More Examples
Binary Operators (act on multiple values),!=,"<any> x, <any> y",Boolean,"Same as &lt;&gt;. Returns true if x is not equal to y, otherwise returns false. x and y must be the same type. As with most other functions, null argument values produce a null result, so it is not possible to test for null with this operator. To test for null, use IsNull() instead.",(3 / 4 <> 0.75) returns false,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=194,!=
Binary Operators (act on multiple values),&,"<any> u, <any> v",Text,"Returns a text value that is the concatenation of u and v. Use this operator to link strings of characters together in a formula text field. 

If u or v is not a text value, QuickBase automatically inserts the function ToText() to convert the value to text before concatenating it.

Does not support User or UserList.","""abc"" & ""def"" returns ""abcdef""
""abc"" & 5 returns ""abc5""
[First Name] & "" "" & [Last Name] concatenates the values in the First Name and Last Name field with a space in between them.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=100,&
Binary Operators (act on multiple values),*,"Number m, Number n",Number,Returns the product of m times n.,"[Price] * [Number of Units] multiplies the value in the Price field by the value in the Number of units field.
-3 * 4 returns -12
0.5 * 5 returns 2.5",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=93,*
Binary Operators (act on multiple values),*,"Number n, Duration d",Duration,"Returns a new Duration that is the given Duration d repeated n times. In other words, it's the duration multiplied by the number n. ",3 * Days(2) returns 6 days,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=94,*
Binary Operators (act on multiple values),*,"Duration d, Number n",Duration,"Returns a new Duration that is the given Duration d repeated n times. In other words, it's the duration multiplied by the number n. ",Weeks(2) * 3 returns 6 weeks,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=95,*
Unary Operators (act on single values),+,Number n,Number,"Returns n.
A +plus sign in front of a number returns a positive number.","+5 returns 5
+-5 returns -5",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=76,+
Unary Operators (act on single values),+,Duration d,Duration,"Returns d. 
A +plus sign in front of a duration returns a positive duration.",+ Weeks(3) returns 3 weeks,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=77,+
Binary Operators (act on multiple values),+,"Number m, Number n",Number,Returns the sum of m and n.,"3 + 4 returns 7
[Subtotal] + [Tax] returns the sum achieved by adding the value in the Subtotal field to the value in the Tax field.",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=80,+
Binary Operators (act on multiple values),+,"Duration x, Duration y",Duration,Returns the duration that is the sum of x and y.,Days(1) + Days(2) returns 3 days,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=82,+
Binary Operators (act on multiple values),+,"Date d, Duration x",Date,Returns the date that is after date d by the duration x. x is truncated to a whole number of days.,"[Start Date] + [Duration] returns the date you get by adding the value in the Duration field to the date in the Start Date field.
ToDate(""Jan 1, 2000"") + Days(2) returns Jan 3, 2000",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=83,+
Binary Operators (act on multiple values),+,"Duration x, Date d",Date,Returns the date that is after date d by the duration x. x is truncated to a whole number of days. ,"Days(2) + ToDate(""Jan 1, 2000"") returns Jan 3, 2000",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=84,+
Binary Operators (act on multiple values),+,"Date/Time t, Duration x",Date/Time,Returns the Date/Time that is after Date/Time t by the duration x.,[Call Time] + [Review Period] returns the date and time that follows the date/time in the Call Time field by the duration listed in the Review Period field. ,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=85,+
Binary Operators (act on multiple values),+,"Duration x, Date/Time t",Date/Time,Returns the Date/Time that is after Date/Time t by the duration x.,[Hours Worked] + [Start Time] returns the time of day resulting from adding the value in the Hours Worked field to the time in the Start Time field.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=86,+
Binary Operators (act on multiple values),+,"Duration d, TimeOfDay t",TimeOfDay,Returns the TimeOfDay that is after TimeOfDay t by the duration x.,"ToTimeOfDay(""2 pm"") + Hours(22) returns 12 pm",https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=145,+
Binary Operators (act on multiple values),+,"TimeOfDay t, Duration d",TimeOfDay,Returns the TimeOfDay that is after TimeOfDay t by the duration x.,[Start Time] + [Hours Worked] returns the time of day resulting from adding the value in the Hours Worked field to the time in the Start Time field.,https://www.quickbase.com/db/6ewwzuuj?a=dr&rid=146,+
